EqpList,FmsList,DataType,DefaultValue
Recipe_Item79,Chamber1_Step08_Pusher_End_Position_SV,UInt16,0
Recipe_Item80,Chamber1_Step09_Vacuum_Pressure_SV,UInt16,0
Recipe_Item81,Chamber1_Step09_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item82,Chamber1_Step09_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item83,Chamber1_Step09_Pusher_Count_SV,UInt16,0
Recipe_Item84,Chamber1_Step09_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item85,Chamber1_Step09_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item86,Chamber1_Step09_Pusher_End_Position_SV,UInt16,0
Recipe_Item87,Chamber1_Step10_Vacuum_Pressure_SV,UInt16,0
Recipe_Item88,Chamber1_Step10_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item89,Chamber1_Step10_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item90,Chamber1_Step10_Pusher_Count_SV,UInt16,0
Recipe_Item91,Chamber1_Step10_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item92,Chamber1_Step10_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item93,Chamber1_Step10_Pusher_End_Position_SV,UInt16,0
Recipe_Item94,Chamber2_Step01_Vacuum_Pressure_SV,UInt16,4500
Recipe_Item95,Chamber2_Step01_Vacuum_Pressure_Holding_Time_SV,UInt16,5
Recipe_Item96,Chamber2_Step01_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item97,Chamber2_Step01_Pusher_Count_SV,UInt16,0
Recipe_Item98,Chamber2_Step01_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item99,Chamber2_Step01_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item100,Chamber2_Step01_Pusher_End_Position_SV,UInt16,0
Recipe_Item101,Chamber2_Step02_Vacuum_Pressure_SV,UInt16,2500
Recipe_Item102,Chamber2_Step02_Vacuum_Pressure_Holding_Time_SV,UInt16,5
Recipe_Item103,Chamber2_Step02_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item104,Chamber2_Step02_Pusher_Count_SV,UInt16,0
Recipe_Item105,Chamber2_Step02_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item106,Chamber2_Step02_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item107,Chamber2_Step02_Pusher_End_Position_SV,UInt16,0
Recipe_Item108,Chamber2_Step03_Vacuum_Pressure_SV,UInt16,500
Recipe_Item109,Chamber2_Step03_Vacuum_Pressure_Holding_Time_SV,UInt16,30
Recipe_Item110,Chamber2_Step03_Pusher_Start_Delay_Time_SV,UInt16,3
Recipe_Item111,Chamber2_Step03_Pusher_Count_SV,UInt16,1
Recipe_Item112,Chamber2_Step03_Pusher_Forward_Holding_Time_SV,UInt16,5
Recipe_Item113,Chamber2_Step03_Pusher_Backward_Holding_Time_SV,UInt16,5
Recipe_Item114,Chamber2_Step03_Pusher_End_Position_SV,UInt16,0
Recipe_Item115,Chamber2_Step04_Vacuum_Pressure_SV,UInt16,200
Recipe_Item116,Chamber2_Step04_Vacuum_Pressure_Holding_Time_SV,UInt16,50
Recipe_Item117,Chamber2_Step04_Pusher_Start_Delay_Time_SV,UInt16,0
