EqpList,FmsList,DataType,DefaultValue
Limit.CurrentUpper,Limit.CurrentUpper_SV,float,0
Limit.CurrentLower,Limit.CurrentLower_SV,float,0
Limit.VoltageUpper,Limit.VoltageUpper_SV,float,0
Limit.VoltageLower,Limit.VoltageLower_SV,float,0
Limit.ProcessingTime,Limit.ProcessingTime_SV,UInt16,0
Power_CD.Current,Power_CD.Current_SV,float,0
Power_CD.MeasureTime,Power_CD.MeasureTime_SV,UInt16,0
Power_CD.StopTime,Power_CD.StopTime_SV,UInt16,0
OCV.WaitTime,OCV.WaitTime_SV,UInt16,0
